slug,name,category,cpi_name,unit
fromage-mozzarella,Fromage mozzarella,Produits laitiers,Fromage mozzarella,400g
fromage-cottage,Fromage cottage en crème,Produits laitiers,Fromage cottage en crème,500g
fromage-chevre,Fromage de chèvre frais,Produits laitiers,Fromage de chèvre frais,200g
fromage-tranches,Fromage en tranches,Produits laitiers,Fromage en tranches,400g
parmesan,Parmesan,Produits laitiers,Parmesan,250g
fromage-creme,Fromage à la crème,Produits laitiers,Fromage à la crème,250g
yogourt,Yogourt,Produits laitiers,Yogourt,650g
lait-evapore,Lait évaporé,Produits laitiers,Lait évaporé,354ml
oeufs-gros-12,Oeufs gros 12,Oeufs,Oeufs gros,dz
pain-blanc-675g,Pain blanc 675g,Boulangerie,Pain blanc,675g
pain-boulangerie,Pain boulangerie,Boulangerie,Pain boulangerie,1u
pain-croustillant,Pain croustillant,Boulangerie,Pain croustillant,250g
pain-plat,Pain plat,Boulangerie,Pain plat,1pkg
pains-hamburger,Pains à hamburger,Boulangerie,Pains à hamburger,8u
bagels,Bagels,Boulangerie,Bagels,6u
muffins-son,Muffins au son,Boulangerie,Muffins au son,6u
beignes,Beignes,Boulangerie,Beignes,6u
tarte-fruits,Tarte aux fruits,Boulangerie,Tarte aux fruits,1u
gateau-glace-surgele,Gâteau glacé surgelé,Boulangerie,Gâteau glacé surgelé,1u
farine-blanche,Farine blanche,Boulangerie,Farine blanche,2.5kg
farine-ble-entier,Farine de blé entier,Boulangerie,Farine de blé entier,2.5kg
pates-seches-900g,Pâtes sèches 900g,Boulangerie,Pâtes sèches,900g
riz-long-grain,Riz à long grain,Boulangerie,Riz à long grain,2kg
cereales-chaudes,Céréales chaudes,Boulangerie,Céréales chaudes pour petit déjeuner,1kg
cereales-froides,Céréales froides,Boulangerie,Céréales froides de petit déjeuner,500g
barres-granolas,Barres granolas,Boulangerie,Barres granolas,6u
craquelins,Craquelins,Boulangerie,Craquelins,225g
croutons,Croûtons,Boulangerie,Croûtons,140g
tomates-conserve,Tomates en conserve,Conserves,Tomates en conserve,796ml
mais-conserve,Maïs en conserve,Conserves,Maïs en conserve,341ml
pois-conserve,Pois en conserve,Conserves,Pois en conserve,341ml
haricots-verts-conserve,Haricots verts en conserve,Conserves,Haricots verts en conserve,341ml
feves-au-lard,Fèves au lard en conserve,Conserves,Fèves au lard à la sauce tomate en conserve,398ml
pois-chiches-conserve,Pois chiches en conserve,Conserves,Pois chiches en conserve,540ml
fruits-conserve,Fruits en conserve,Conserves,Fruits en conserve,398ml
jus-tomate,Jus de tomate,Conserves,Jus de tomate,1.36L
jus-legumes,Jus de légumes,Conserves,Jus de légumes,1.36L
soupe-legumes-conserve,Soupe aux légumes en conserve,Conserves,Soupe aux légumes en conserve,540ml
soupe-viande-conserve,Soupe avec viande en conserve,Conserves,Soupe avec viande en conserve,540ml
concentre-boeuf-poulet,Concentré de bœuf ou poulet,Conserves,Concentré de bœuf ou de poulet,900ml
ketchup,Ketchup,Condiments,Ketchup aux tomates,1L
moutarde,Moutarde,Condiments,Moutarde,325ml
mayonnaise,Mayonnaise,Condiments,Mayonnaise,890ml
sauce-spaghetti,Sauce à spaghetti,Condiments,Sauce à spaghetti régulière,650ml
sauce-barbecue,Sauce barbecue,Condiments,Sauce barbecue,455ml
sauce-piquante,Sauce piquante,Condiments,Sauce piquante,350ml
salsa,Salsa,Condiments,Salsa,430ml
vinaigrettes,Vinaigrettes,Condiments,Vinaigrettes,475ml
confiture,Confiture,Condiments,Confiture,500ml
cornichons,Cornichons,Condiments,Cornichons,1L
olives-marinees,Olives marinées,Condiments,Olives marinées,375ml
hoummous,Hoummous,Condiments,Hoummous,280g
sel-table,Sel de table,Condiments,Sel de table,1kg
poivre-noir,Poivre noir,Condiments,Poivre noir,100g
herbes-sechees,Herbes séchées,Condiments,Herbes séchées,30g
pizza-surgelee,Pizza surgelée,Surgelés préparés,Pizza préparée surgelée (non cuite) taille familiale,1u
lasagne-surgelee,Lasagne surgelée,Surgelés préparés,Lasagne surgelée,1u
repas-surgele-individuel,Repas surgelé individuel,Surgelés préparés,Repas préparé surgelé en portion individuelle,1u
pate-viande-surgele,Pâté à la viande surgelé,Surgelés préparés,Pâté à la viande surgelé,1u
gaufres-surgelees,Gaufres surgelées,Surgelés préparés,Gaufres surgelées,280g
pommes-frites-surgelees,Pommes frites surgelées,Surgelés préparés,Pommes de terre frites surgelées,1kg
boulettes-hamburger-surgelees,Boulettes hamburger surgelées,Surgelés préparés,Boulettes à hamburger surgelées,1kg
croquettes-poulet-surgelees,Croquettes de poulet surgelées,Surgelés préparés,Croquettes de poulet surgelées,800g
baies-surgelees,Baies surgelées,Surgelés préparés,Baies surgelées,600g
legumes-surgeles,Légumes surgelés,Surgelés préparés,Légumes surgelés,750g
jus-orange-pur,Jus d'orange pur,Boissons,Jus d'orange pur,1.65L
jus-pommes-pur,Jus de pommes pur,Boissons,Jus de pommes pur,1.89L
autres-jus-fruits,Autres jus de fruits purs,Boissons,Autres jus de fruits purs,1.89L
boites-jus,Boîtes de jus,Boissons,Boîtes de jus,8x200ml
boissons-gazeuses-cola,Boissons gazeuses cola,Boissons,Boissons gazeuses de type cola,2L
boissons-gazeuses-autres,Boissons gazeuses autres,Boissons,Boissons gazeuses autres que les boissons gazeuses de type cola,2L
boissons-gazeuses,Boissons gazeuses,Boissons,Boissons gazeuses,2L
eau,Eau,Boissons,Eau,24x500ml
eau-petillante,Eau pétillante,Boissons,Eau pétillante,1L
croustilles-pomme-terre,Croustilles de pomme de terre,Collations,Croustilles de pomme de terre,200g
croustilles-tortillas,Croustilles de tortillas,Collations,Croustilles de tortillas,230g
mais-souffle,Maïs soufflé,Collations,Maïs soufflé,1u
barre-chocolat,Barre de chocolat,Collations,Barre de chocolat,1u
gomme-a-macher,Gomme à mâcher,Collations,Gomme à mâcher,1pkg
noix,Noix,Collations,Noix,300g
raisins-secs,Raisins secs,Collations,Raisins secs sans pépins,375g
huile-cuisson,Huile à cuisson,Épicerie diverse,Huile à cuisson ou à salade,1L
huile-olive,Huile d'olive extra vierge,Épicerie diverse,Huile d'olive extra vierge,500ml
beurre-arachide,Beurre d'arachide,Épicerie diverse,Beurre d'arachide,1kg
beurre-amande,Beurre d'amande,Épicerie diverse,Beurre d'amande,340g
miel,Miel,Épicerie diverse,Miel,500g
sirop-erable,Sirop d'érable,Épicerie diverse,Sirop d'érable,540ml
sucre,Sucre,Épicerie diverse,Sucre,2kg
cacao,Cacao,Épicerie diverse,Cacao,227g
cafe-torrefie,Café torréfié,Épicerie diverse,Café torréfié,340g
cafe-instantane,Café instantané,Épicerie diverse,Café instantané,150g
cafe-portion-individuelle,Café en portion individuelle,Épicerie diverse,Café moulu en portion individuelle,12u
sachets-the,Sachets de thé,Épicerie diverse,Sachets de thé,48u
the-tisanes,Thé tisanes et autres,Épicerie diverse,Thé Tisanes ou autres,20u
melange-soupe,Mélange à soupe,Épicerie diverse,Mélange à soupe,1pkg
poudre-gelatine,Poudre de gélatine,Épicerie diverse,Poudre de gélatine avec saveur,85g
repas-mac-fromage,Repas macaroni et fromage,Épicerie diverse,Repas de macaroni et fromage,225g
tofu,Tofu,Épicerie diverse,Tofu,450g
aliments-bebes,Aliments pour bébés,Épicerie diverse,Aliments pour bébés,128ml
preparation-nourrissons,Préparation nourrissons,Épicerie diverse,Préparation pour nourrissons,900g
legumes-secs,Légumes secs,Épicerie diverse,Légumes secs,900g
burgers-plantes,Burgers à base de plantes,Protéines alternatives,Burgers à base de plantes,2u
saucisses-plantes,Saucisses à base de plantes,Protéines alternatives,Saucisses à base de plantes,1pkg
proteines-poudre,Protéines en poudre,Protéines alternatives,Protéines en poudre,900g
poulet-roti-entier,Poulet rôti entier,Viandes fraîches,Poulet rôti entier,1u
